id,translation
ID_ME_NA_CAMPAIGNENERGY,Save the World!
ID_ME_SD_CAMPAIGNENERGY,Spend Campaign Energy
ID_ME_SM_CAMPAIGNENERGY,Earn points by spending CAMPAIGN ENERGY
ID_ME_LM_CAMPAIGNENERGY,Spend CAMPAIGN ENERGY to earn various milestone rewards.
ID_ME_S1_CAMPAIGNENERGY,Spend 1 CAMPAIGN ENERGY
ID_ME_NA_SOFTCURRENCY,High Roller
ID_ME_SD_SOFTCURRENCY,Spend Gold
ID_ME_SM_SOFTCURRENCY,Earn points by spending GOLD
ID_ME_LM_SOFTCURRENCY,Spend GOLD to earn various milestone rewards.
ID_ME_S1_SOFTCURRENCY,Spend 1 GOLD
ID_ME_NA_HARDCURRENCY,Power Monger
ID_ME_SD_HARDCURRENCY,Spend Power Cores
ID_ME_SM_HARDCURRENCY,Earn points by spending POWER CORES
ID_ME_LM_HARDCURRENCY,Spend POWER CORES to earn various milestone rewards.
ID_ME_S1_HARDCURRENCY,Spend 1 POWER CORE
ID_ME_NA_CHARACTERTRAINING,Hone Your Skills
ID_ME_SD_CHARACTERTRAINING,Use Training Modules
ID_ME_SM_CHARACTERTRAINING,Earn points by using TRAINING MODULES
ID_ME_LM_CHARACTERTRAINING,Use TRAINING MODULES to train your characters and earn various milestone rewards.
ID_ME_S1_CHARACTERTRAINING,Use 1 L1 TRAINING MODULE
ID_ME_S2_CHARACTERTRAINING,Use 1 L2 TRAINING MODULE
ID_ME_S3_CHARACTERTRAINING,Use 1 L3 TRAINING MODULE
ID_ME_S4_CHARACTERTRAINING,Use 1 L4 TRAINING MODULE
ID_ME_NA_BATTLECOMPLETION,World Warrior
ID_ME_SD_BATTLECOMPLETION,Fight in Battles
ID_ME_SM_BATTLECOMPLETION,Earn points by fighting in battles
ID_ME_LM_BATTLECOMPLETION,Fight in any battle to earn various milestone rewards.
ID_ME_S1_BATTLECOMPLETION,Spend 1 CAMPAIGN ENERGY
ID_ME_S2_BATTLECOMPLETION,Complete a CHALLENGE
ID_ME_S3_BATTLECOMPLETION,Win a Battle in BLITZ
ID_ME_S4_BATTLECOMPLETION,Lose a Battle in BLITZ
ID_ME_NA_ARENACOMBAT,Ultimate Gladiator
ID_ME_SD_ARENACOMBAT,Win Battles in Blitz
ID_ME_SM_ARENACOMBAT,Earn points by competing in BLITZ
ID_ME_LM_ARENACOMBAT,Win in Blitz to earn various milestone rewards.
ID_ME_S1_ARENACOMBAT,Earn 1 BLITZ POINT
ID_ME_NA_ARENACOMBATALLY,Ultimate Gladiator
ID_ME_SD_ARENACOMBATALLY,Win Battles in Blitz
